,rho,needed_samples,threshold_value,needed_sample_T,check
0,-0.29,"[71.0, 59.0, 65.0, 83.0, 75.0, 78.0, 78.0, 83.0, 72.0, 68.0]",44,"[33.0, 25.0, 29.0, 31.0, 33.0, 34.0, 25.0, 43.0, 24.0, 27.0, 40.0, 30.0, 24.0, 26.0]",True
1,-0.18999999999999997,"[66.0, 79.0, 88.0, 109.0, 101.0, 86.0, 78.0, 99.0, 83.0, 67.0]",49,"[38.0, 41.0, 29.0, 48.0, 30.0, 24.0, 35.0, 42.0, 27.0, 35.0, 27.0, 26.0]",True
2,-0.08999999999999997,"[95.0, 59.0, 79.0, 95.0, 78.0, 89.0, 84.0, 99.0, 75.0, 76.0]",23,"[12.0, 17.0, 14.0, 20.0, 11.0, 13.0, 21.0, 20.0, 14.0, 22.0, 15.0, 16.0, 17.0, 21.0, 14.0, 14.0, 17.0, 13.0, 14.0, 11.0, 16.0, 12.0, 16.0, 13.0]",True
3,0.010000000000000064,"[74.0, 65.0, 70.0, 101.0, 81.0, 94.0, 81.0, 96.0, 87.0, 66.0]",48,"[40.0, 39.0, 30.0, 47.0, 38.0, 27.0, 32.0, 37.0, 43.0, 29.0, 31.0, 34.0]",True
4,0.11000000000000004,"[84.0, 56.0, 69.0, 77.0, 76.0, 83.0, 78.0, 100.0, 62.0, 64.0]",15,"[12.0, 13.0, 8.0, 14.0, 11.0, 12.0, 10.0, 12.0, 12.0, 14.0, 10.0, 9.0, 11.0, 7.0, 9.0, 8.0, 10.0, 13.0, 12.0, 9.0, 14.0, 10.0, 8.0, 7.0, 7.0, 9.0, 10.0, 8.0, 10.0, 9.0, 8.0, 9.0, 7.0, 7.0, 10.0, 11.0, 11.0, 10.0, 10.0]",True
5,0.21000000000000002,"[100.0, 65.0, 70.0, 98.0, 102.0, 80.0, 88.0, 108.0, 93.0, 82.0]",39,"[24.0, 31.0, 23.0, 30.0, 38.0, 24.0, 26.0, 25.0, 21.0, 23.0, 20.0, 35.0, 20.0, 20.0, 26.0, 20.0, 20.0]",True
6,0.3100000000000001,"[75.0, 58.0, 81.0, 108.0, 67.0, 75.0, 80.0, 83.0, 73.0, 62.0]",43,"[36.0, 23.0, 33.0, 28.0, 23.0, 40.0, 25.0, 26.0, 24.0, 23.0, 35.0, 25.0, 30.0, 26.0, 26.0, 21.0]",True
7,0.4100000000000001,"[103.0, 69.0, 75.0, 114.0, 81.0, 85.0, 89.0, 108.0, 99.0, 76.0]",51,"[45.0, 33.0, 45.0, 30.0, 50.0, 34.0, 33.0, 48.0, 27.0, 26.0, 42.0]",True
8,0.51,"[112.0, 78.0, 102.0, 131.0, 96.0, 124.0, 90.0, 126.0, 92.0, 103.0]",58,"[48.0, 41.0, 36.0, 39.0, 36.0, 33.0, 32.0, 53.0, 36.0, 44.0, 34.0, 33.0, 29.0]",True
9,0.6100000000000001,"[67.0, 91.0, 91.0, 116.0, 115.0, 111.0, 129.0, 113.0, 111.0, 100.0]",21,"[15.0, 14.0, 11.0, 13.0, 14.0, 13.0, 12.0, 14.0, 11.0, 19.0, 11.0, 11.0, 16.0, 14.0, 12.0, 12.0, 16.0, 11.0, 15.0, 14.0, 13.0, 13.0, 13.0, 10.0, 12.0, 19.0, 13.0, 18.0, 15.0, 16.0, 17.0, 13.0, 12.0, 11.0, 11.0, 11.0, 13.0, 11.0, 18.0, 11.0]",True
10,0.71,"[128.0, 118.0, 92.0, 122.0, 183.0, 107.0, 156.0, 163.0, 129.0, 117.0]",69,"[55.0, 64.0, 41.0, 59.0, 45.0, 40.0, 48.0, 55.0, 42.0, 31.0]",True
11,0.81,"[232.0, 145.0, 227.0, 185.0, 185.0, 185.0, 220.0, 219.0, 104.0, 194.0]",78,"[46.0, 52.0, 66.0, 45.0, 58.0, 64.0, 43.0, 50.0, 48.0, 34.0, 57.0, 63.0, 32.0, 43.0, 51.0]",True
12,0.9100000000000001,"[218.0, 183.0, 176.0, 249.0, 278.0, 196.0, 283.0, 403.0, 238.0, 198.0]",25,"[26.0, 24.0, 36.0, 18.0, 12.0, 12.0, 12.0, 31.0, 15.0, 11.0, 14.0, 22.0, 15.0, 11.0, 12.0, 27.0, 14.0, 23.0, 12.0, 24.0, 13.0, 13.0, 10.0, 25.0, 10.0, 11.0, 11.0, 10.0, 40.0, 29.0, 16.0, 10.0, 20.0, 24.0, 15.0, 10.0, 22.0, 19.0, 11.0, 11.0, 17.0, 15.0, 17.0, 27.0, 21.0, 26.0, 15.0, 23.0, 12.0, 37.0, 14.0, 11.0, 48.0, 42.0, 19.0, 12.0, 11.0, 17.0, 9.0, 11.0, 14.0, 19.0, 15.0, 9.0, 11.0, 12.0, 20.0, 13.0, 13.0, 11.0, 11.0, 10.0, 15.0, 13.0, 13.0, 15.0, 14.0, 27.0, 28.0, 25.0, 28.0, 14.0, 12.0, 15.0, 10.0, 12.0, 13.0, 12.0, 27.0, 30.0, 15.0, 14.0, 27.0]",False
